<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170113,130000,166.0200000,166.0200000,165.5000000,165.5100000,1826630
20170113,131500,165.5100000,165.6000000,165.1100000,165.4000000,2003890
20170113,133000,165.3700000,165.5000000,164.8100000,164.9900000,4483470
20170113,134500,164.9900000,165.1700000,164.6000000,164.8300000,3241630
20170113,140000,164.9500000,165.0000000,164.3500000,164.7400000,2354020
20170113,141500,164.7100000,165.0000000,164.4300000,164.9400000,2014640
20170113,143000,164.9600000,165.0000000,164.7200000,164.8700000,1355530
20170113,144500,164.8500000,164.9900000,164.6400000,164.9400000,379970
20170113,150000,164.9000000,165.0000000,164.7000000,164.7300000,915900
20170113,151500,164.7600000,164.8500000,164.5000000,164.5200000,728750
20170113,153000,164.5300000,164.6900000,164.4000000,164.6300000,964360
20170113,154500,164.6400000,165.1500000,164.5900000,165.0000000,3524970
20170113,160000,164.9900000,165.3100000,164.5800000,164.7900000,2519630
20170113,161500,164.7900000,164.9000000,164.7400000,164.8300000,235250
20170113,163000,164.8100000,164.9100000,164.0600000,164.1700000,1765460
20170113,164500,164.1000000,164.3600000,163.8800000,164.3600000,2746490
20170113,170000,164.2800000,164.5100000,163.9500000,164.1200000,1611060
20170113,171500,164.1800000,165.1500000,164.1000000,164.8700000,1469700
20170113,173000,164.9100000,165.4900000,164.8100000,165.4200000,2274140
20170113,174500,165.4200000,165.8800000,165.3400000,165.5300000,3514290
20170113,180000,165.5300000,165.7900000,165.1300000,165.5300000,1722560
20170113,181500,165.5500000,165.7300000,164.9600000,165.0200000,3021130
20170113,183000,165.0700000,165.3300000,164.6600000,164.7700000,3104880
20170113,184500,164.9000000,164.9000000,164.9000000,164.9000000,402730
20170116,100000,165.2100000,165.3600000,164.0600000,164.6700000,1823400
20170116,101500,164.6400000,164.9900000,164.3200000,164.9100000,851670
20170116,103000,164.9500000,165.6800000,164.8600000,165.4000000,1154490
20170116,104500,165.4000000,165.6000000,165.2000000,165.6000000,683180
20170116,110000,165.6000000,166.0000000,164.5500000,164.8500000,2806910
20170116,111500,164.8500000,165.0700000,164.5100000,164.9000000,1463830
20170116,113000,164.9000000,165.0000000,164.5200000,164.5400000,752120
20170116,114500,164.5500000,164.6700000,164.3500000,164.6600000,1103970
20170116,120000,164.6700000,165.0000000,164.6000000,164.7800000,602090
20170116,121500,164.8500000,164.8600000,164.1000000,164.1500000,1107750
20170116,123000,164.1500000,164.8900000,164.1000000,164.8200000,884700
20170116,124500,164.7600000,165.7000000,164.6000000,165.6300000,2384220
20170116,130000,165.6600000,166.8000000,165.4500000,166.1500000,3621420
20170116,131500,166.1500000,166.4900000,166.1100000,166.2600000,810150
